FoldablePackagePolicy,2021121601,,
304,kidgames.learn.draw,displayCompat,b
305,com.airg.kittysnatch,displayCompat,b
306,com.advasoft.handyphoto,displayCompat,b
307,com.rastargames.rod.sam,displayCompat,b
308,com.tot.samsung,displayCompat,b
309,com.jihai.batteryfastcharging,displayCompat,b
310,com.tkig.and,displayCompat,b
311,com.rsg.cjhwy,displayCompat,b
312,com.amhen.samsung,displayCompat,b
313,com.locojoytj.dd2.samsung,displayCompat,b
314,com.gekko.rok,displayCompat,b
315,com.alex.landlord,displayCompat,b
316,com.mutao.zhipai,displayCompat,b
317,com.emagroups.samsung,displayCompat,b
318,kr.co.rinasoft.howuse,displayCompat,b
319,com.patistudio.milc4kakao,displayCompat,b
320,com.alibaba.wireless,displayCompat,b
321,com.tencent.tribe,displayCompat,b
322,com.mrgames.larvaheroesfree,displayCompat,b
323,com.skgames.trafficracer,displayCompat,b
324,com.squareenixmontreal.hitmansniperandroid,displayCompat,b
325,com.microfun.munchkin.samsung,displayCompat,b
326,com.awmanv.samsung,displayCompat,b
327,com.boombitgames.samsung.Tiny2,displayCompat,b
328,com.smaids.samsung,displayCompat,b
329,com.lilithgames.sgame.abroad.samsung,displayCompat,b
330,com.prgame5.gaple.online.yinni.samsung,displayCompat,b
331,jp.co.smbc.direct,displayCompat,b
332,com.linecorp.LGBB2,displayCompat,b
333,com.machipopo.media17,displayCompat,b
334,jp.co.jorudan.nrkj,displayCompat,b
335,jp.sugi.sugitomo,displayCompat,b
336,jp.zozo.android.town,displayCompat,b
337,jp.colopl.wcat,displayCompat,b
338,jp.co.yahoo.android.weather.type1,displayCompat,b
339,com.dongqiudi.news,displayCompat,b
340,com.linecorp.LGTMTM,displayCompat,b
341,jp.radiko.Player,displayCompat,b
342,excel.sgs,displayCompat,b
343,com.duitang.main,displayCompat,b
344,com.mfw.roadbook,displayCompat,b
345,com.dotemu.sanitarium,displayCompat,b
346,com.bulkypix.asterixsub,displayCompat,b
347,com.joybits.doodledevil_paytnb,displayCompat,b
348,com.squareenix.tombraider1classic,displayCompat,b
349,com.squareenix.tombraider2classic,displayCompat,b
350,com.fenomen.redhoodf2p,displayCompat,b
351,com.devilhunter.samsung,displayCompat,b
352,com.joybits.doodlefarmtnb,displayCompat,b
353,joybits.doodlemafia_alttnb,displayCompat,b
354,com.js.jeweltreefulltnb,displayCompat,b
355,com.alawar.montezumapartnertnb,displayCompat,b
356,com.alawar.treasuresofmontezuma4.partners,displayCompat,b
357,com.alawar.FF3AmericanPie.Partners,displayCompat,b
358,com.playstation.runsackboyrun,displayCompat,b
359,com.soft.blued,displayCompat,b
360,com.sogou.activity.src,displayCompat,b
361,com.tencent.gallerymanager,displayCompat,b
362,com.lofter.android,displayCompat,b
363,com.baidu.tieba_mini,displayCompat,b
364,com.wm.dmall,displayCompat,b
365,com.tencent.minihd.qq,displayCompat,b
366,com.vvvdj.player,displayCompat,b
367,com.besttone.hall,displayCompat,b
368,com.ring.cn.mhhy.other,displayCompat,b
369,com.nvsip.temp,displayCompat,b
370,com.alawar.hoh3full,displayCompat,b
371,com.dotemu.ys2x,displayCompat,b
372,com.dianhun.summonerspuzzles.samsung,displayCompat,b
373,com.gorgeous.liteinternational,displayCompat,b
374,com.qtz.game.kor.zlsg.kr,displayCompat,b
375,com.koreahnc.mysem2,displayCompat,b
376,com.stove.themusician.google,displayCompat,b
377,com.kr.krzq.one,displayCompat,b
378,com.seohojin.boomcare_thermometer,displayCompat,b
379,com.pokercity.bydrqp.sxpt,displayCompat,b
380,com.qiyi.video.pad,displayCompat,b
381,com.cjenm.sknights,displayCompat,b
382,com.jd.jrapp,displayCompat,b
383,com.budejie.www,displayCompat,b
384,com.myzaker.ZAKER_Phone,displayCompat,b
385,com.tmall.wireless,displayCompat,b
386,com.olulo.kickgoing,displayCompat,b
387,air.com.hypah.io.slither,displayCompat,b
388,com.percent.mybest,displayCompat,b
389,at.ner.lepsWorld2,displayCompat,b
390,at.ner.zombieWorldFree,displayCompat,b
391,com.ufotosoft.justshot,displayCompat,b
392,com.gameimake.mermaidrescuelovestory,displayCompat,b
393,com.taobao.trip,displayCompat,b
394,com.sankuai.meituan.meituanwaimaibusiness,displayCompat,b
395,com.sina.news,displayCompat,b
396,com.hundsun.winner.pazq,displayCompat,b
397,com.pingan.papd,displayCompat,b
398,com.guotai.dazhihui,displayCompat,b
399,com.paem,displayCompat,b
400,com.flightmanager.view,displayCompat,b
401,com.perfectwin.highschool.crush.makeup.dressup.first.love.kiss,displayCompat,b
402,com.yiwang,displayCompat,b
403,com.hebei.dafy.c2c,displayCompat,b
404,flipboard.cn,displayCompat,b
405,com.mampod.ergedd,displayCompat,b
406,com.huluxia.gametools,displayCompat,b
407,com.duowan.makefriends,displayCompat,b
408,com.shcc.microcredit,displayCompat,b
409,com.netease.cartoonreader,displayCompat,b
410,com.browser2345,displayCompat,b
411,com.sjaqqlgj.app,displayCompat,b
412,com.cqzafnew.union.tuanwan,displayCompat,b
413,com.wdszyyb.union.tuanwan,displayCompat,b
414,com.sunboxsoft.charge.institute,displayCompat,b
415,com.ftaro.kingwar.samsung,displayCompat,b
416,cn.com.langeasy.LangEasyLexis,displayCompat,b
417,io.dushu.fandengreader,displayCompat,b
418,com.niubei.news,displayCompat,b
419,com.goldenkeysolutions.vinaphone4gapp,displayCompat,b
420,com.goldenkeysolutions.sim4gviettelapp2,displayCompat,b
421,com.picstudio.photoeditorplus,displayCompat,b
422,com.doubleugames.DoubleUCasino,displayCompat,b
423,cn.colorv,displayCompat,b
424,com.midea.ai.appliances,displayCompat,b
425,com.realcloud.loochadroid.college,displayCompat,b
426,co.welab.wolaidai,displayCompat,b
427,com.zynga.livepoker,displayCompat,b
428,com.kleague.kleagueapp,displayCompat,b
429,com.redfin.android,displayCompat,b
430,com.truefriend.neosmarta,displayCompat,b
431,com.sky.free.music,displayCompat,b
432,com.aligames.sgzhg.google,displayCompat,b
433,com.sinyee.babybus.recommendapp,displayCompat,b
434,com.media.bestrecorder.audiorecorder,displayCompat,b
435,com.jimiws.ysx,displayCompat,b
436,com.runbey.ybjk,displayCompat,b
437,com.xprodev.cutcam,displayCompat,b
438,com.qihoo.video,displayCompat,b
439,com.k7k7.BaoHuang,displayCompat,b
440,com.cxzapp.yidianling,displayCompat,b
441,com.taobao.idlefish,displayCompat,b
442,com.qiyi.video.reader,displayCompat,b
443,com.to8to.housekeeper,displayCompat,b
444,com.cmschina.stock,displayCompat,b
445,com.baidu.wenku,displayCompat,b
446,com.fanli.android.apps,displayCompat,b
447,com.facishare.fs,displayCompat,b
448,com.zhaopin.social,displayCompat,b
449,com.zynga.FarmVille2CountryEscape,displayCompat,b
450,net.apex_designs.payback2,displayCompat,b
451,com.hyperkani.bomberfriends,displayCompat,b
452,com.vectorunit.purple.googleplay,displayCompat,b
453,net.peakgames.Yuzbir,displayCompat,b
454,com.taobao.qianniu,displayCompat,b
455,com.koudai.weidian.buyer,displayCompat,b
456,com.tuyoo.doudizhu.maintu,displayCompat,b
457,com.realcloud.loochadroid.college,displayCompat,b
458,com.nuomi,displayCompat,b
459,com.lj.ljshell,displayCompat,b
460,com.youdao.note,displayCompat,b
461,com.netease.edu.ucmooc,displayCompat,b
462,com.longzhu.tga,displayCompat,b
463,com.account.book.quanzi,displayCompat,b
464,com.outfit7.talkingtom2free.bd,displayCompat,b
465,com.tencent.tmgp.rxcq,displayCompat,b
466,com.ctrip.izuche,displayCompat,b
467,com.v.zy,displayCompat,b
468,cn.com.shbank.mper,displayCompat,b
469,com.qdtevc.teld.app,displayCompat,b
470,com.yitong.mbank.gy,displayCompat,b
471,com.aixuedai.axd,displayCompat,b
472,com.tuniu.app.ui,displayCompat,b
473,com.tencent.qqlite,displayCompat,b
474,com.tencent.clover,displayCompat,b
475,com.tencent.tmgp.pvz2hdtxyyb,displayCompat,b
476,net.wargaming.wot.blitz,displayCompat,b
477,com.mianfeinovel,displayCompat,b
478,com.ibike.publicbicycle.activity,displayCompat,b
479,com.pingan.xueyuan,displayCompat,b
480,com.gamevil.psrforkakao,displayCompat,b
481,com.tencent.portfolio,displayCompat,b
482,com.fenzotech.jimu,displayCompat,b
483,com.cfgame.dtmj,displayCompat,b
484,com.mahjong.sichuang,displayCompat,b
485,cn.vcinema.cinema,displayCompat,b
486,com.songwo.pig,displayCompat,b
487,com.qihoo.haosou.subscribe.vertical.book,displayCompat,b
488,com.wordgame.puzzle.board.it,displayCompat,b
489,com.discovery.discoverygo,displayCompat,b
490,com.kpgame.PokerBros,displayCompat,b
491,com.IBK.SmartPush.app,displayCompat,b
492,com.vaultmicro.kidsnote,displayCompat,b
493,com.wooribank.smart.npib,displayCompat,b
494,com.dropdom.blockpuzzle.hwwgame,displayCompat,b
495,com.ssg.serviceapp.android.egiftcertificate,displayCompat,b
496,com.NHNEnt.NDuelgo,displayCompat,b
497,com.daishin,displayCompat,b
498,com.hyvee.grocery,displayCompat,b
499,com.truefriend.smartnewa,displayCompat,b
500,com.droidhang.ad,displayCompat,b
501,com.sports.real.golf.rival.online,displayCompat,b
502,com.hogangnono.hogangnono,displayCompat,b
503,com.nexon.sinoalice,displayCompat,b
504,com.ankama.dofustouch,displayCompat,b
505,fr.anidn,displayCompat,b
506,com.kakaogames.nikki,displayCompat,b
507,com.addictive.strategy.army,displayCompat,b
508,com.miraeasset.trade,displayCompat,b
509,com.YoStarKR.Arknights,displayCompat,b
510,kr.go.hf.hfappandroid,displayCompat,b
511,kr.co.dgb.dgbm,displayCompat,b
512,com.game.fallingpuzzle,displayCompat,b
513,com.MelsoftGames.FamilyIslandFarm,displayCompat,b
514,com.two31play.mahjongcity,displayCompat,b
515,com.ketchapp.knifehit,displayCompat,b
516,com.omgpop.dstfree,displayCompat,b
517,blockpuzzle.new1010.jewelgames.puzzlegames,displayCompat,b
518,roll.unblock.ball.block.puzzle,displayCompat,b
519,com.playstudios.popslots,displayCompat,b
